paper;Dataset;Segmentation;Normalization;Noise reduction;Features type;Feature length;Feature extraction or selection methods;Algorithm type;Architecture;Training dataset;Evaluation dataset;Validation method;Accuracy;EER;Lowest FMR;Lowest FMNR;NONE
liu2022time;BIDMC;1min record;NA;NA;Time + Frequency;NA;1DLBP + DWT;Machine learning;Euclidian distance;60%;30%;NA;96,24%;NA;NA;NA;
liu2022time;BIDMC;1min record;NA;NA;Time + Frequency;NA;MSDF + MPCC;Machine learning;TFCMF;60%;30%;NA;97,88%;NA;NA;NA;
liu2022time;BIDMC;1min record;NA;NA;Time + Frequency;NA;Fiducial + DWT;Machine learning;TFCMF;60%;30%;NA;97,96%;NA;NA;NA;
liu2022time;BIDMC;1min record;NA;NA;Time + Frequency;NA;MSDF + DWT;Machine learning;TFCMF;60%;30%;NA;98,43%;NA;NA;NA;
liu2022time;BIDMC;1min record;NA;NA;Time + Frequency;NA;MSDF + SFTF;Machine learning;TFCMF;60%;30%;NA;98,25%;NA;NA;NA;
liu2022time;BIDMC;1min record;NA;NA;Time + Frequency;NA;1DLBP + SFTF;Machine learning;TFCMF;60%;30%;NA;98,34%;NA;NA;NA;
liu2022time;BIDMC;1min record;NA;NA;Time + Frequency;NA;1DLBP + DWT;Machine learning;TFCMF;60%;30%;NA;98,78%;NA;NA;NA;
liu2022time;Capnobase IEEE TBME;1min record;NA;NA;Time domain;17;fiducial;Machine learning;Euclidian distance;60%;30%;NA;90,85%;NA;NA;NA;
liu2022time;Capnobase IEEE TBME;1min record;NA;NA;Time domain;NA;MSDF;Machine learning;Euclidian distance;60%;30%;NA;91,34%;NA;NA;NA;
liu2022time;Capnobase IEEE TBME;1min record;NA;NA;Time domain;NA;1DLBP;Machine learning;Euclidian distance;60%;30%;NA;91,72%;NA;NA;NA;
liu2022time;Capnobase IEEE TBME;1min record;NA;NA;Frequency domain;NA;DWT;Machine learning;Euclidian distance;60%;30%;NA;94,56%;NA;NA;NA;
liu2022time;Capnobase IEEE TBME;1min record;NA;NA;Frequency domain;NA;MFCCs;Machine learning;Euclidian distance;60%;30%;NA;93,89%;NA;NA;NA;
liu2022time;Capnobase IEEE TBME;1min record;NA;NA;Frequency domain;NA;STFT;Machine learning;Euclidian distance;60%;30%;NA;94,08%;NA;NA;NA;
liu2022time;Capnobase IEEE TBME;1min record;NA;NA;Time + Frequency;NA;MSDF + MPCC;Machine learning;Euclidian distance;60%;30%;NA;95,36%;NA;NA;NA;
liu2022time;Capnobase IEEE TBME;1min record;NA;NA;Time + Frequency;NA;Fiducial + DWT;Machine learning;Euclidian distance;60%;30%;NA;95,78%;NA;NA;NA;
liu2022time;Capnobase IEEE TBME;1min record;NA;NA;Time + Frequency;NA;MSDF + DWT;Machine learning;Euclidian distance;60%;30%;NA;96,24%;NA;NA;NA;
liu2022time;Capnobase IEEE TBME;1min record;NA;NA;Time + Frequency;NA;MSDF + SFTF;Machine learning;Euclidian distance;60%;30%;NA;96,12%;NA;NA;NA;
liu2022time;Capnobase IEEE TBME;1min record;NA;NA;Time + Frequency;NA;1DLBP + SFTF;Machine learning;Euclidian distance;60%;30%;NA;96,32%;NA;NA;NA;
liu2022time;Capnobase IEEE TBME;1min record;NA;NA;Time + Frequency;NA;1DLBP + DWT;Machine learning;Euclidian distance;60%;30%;NA;96,64%;NA;NA;NA;
liu2022time;Capnobase IEEE TBME;1min record;NA;NA;Time + Frequency;NA;MSDF + MPCC;Machine learning;TFCMF;60%;30%;NA;98,79%;NA;NA;NA;
liu2022time;Capnobase IEEE TBME;1min record;NA;NA;Time + Frequency;NA;Fiducial + DWT;Machine learning;TFCMF;60%;30%;NA;99,06%;NA;NA;NA;
liu2022time;Capnobase IEEE TBME;1min record;NA;NA;Time + Frequency;NA;MSDF + DWT;Machine learning;TFCMF;60%;30%;NA;99,43%;NA;NA;NA;
liu2022time;Capnobase IEEE TBME;1min record;NA;NA;Time + Frequency;NA;MSDF + SFTF;Machine learning;TFCMF;60%;30%;NA;99,31%;NA;NA;NA;
liu2022time;Capnobase IEEE TBME;1min record;NA;NA;Time + Frequency;NA;1DLBP + SFTF;Machine learning;TFCMF;60%;30%;NA;99,56%;NA;NA;NA;
hwang2021PBGAN;PRBB;Single cycle;Fixed size input vector 450 pts;Butterworth 4th order, 0,5-18Hz & outlier removal;Time Padding & DTW & Frequence Padding & cubic;One single cycle;Min Fusion;Deep Learning CNN;WS;90%;10%;L2 regularization + 10-fold validation;NA;0,10%;NA;NA;
hwang2021PBGAN;PRBB;Single cycle;Fixed size input vector 450 pts;Butterworth 4th order, 0,5-18Hz;Time Padding & DTW & Frequence Padding & cubic;One single cycle;Min Fusion;Deep Learning CNN;ND;90%;10%;L2 regularization + 10-fold validation;NA;0,10%;NA;NA;
hwang2021PBGAN;PRBB;Single cycle;Fixed size input vector 450 pts;Butterworth 4th order, 0,5-18Hz;Time Padding & DTW & Frequence Padding & cubic;One single cycle;Sum Fusion;Deep Learning CNN;WS;90%;10%;L2 regularization + 10-fold validation;NA;0,10%;NA;NA;
hwang2021PBGAN;PRBB;Single cycle;Fixed size input vector 450 pts;Butterworth 4th order, 0,5-18Hz;Time Padding & DTW & Frequence Padding & cubic;One single cycle;Sum fusion;Deep Learning CNN;ND;90%;10%;L2 regularization + 10-fold validation;NA;0,10%;NA;NA;
hwang2021PBGAN;PRBB;Single cycle;Fixed size input vector 450 pts;Butterworth 4th order, 0,5-18Hz;Time Padding & DTW & Frequence Padding & cubic;One single cycle;Product fusion;Deep Learning CNN;WS;90%;10%;L2 regularization + 10-fold validation;NA;0,10%;NA;NA;
hwang2021PBGAN;PRBB;Single cycle;Fixed size input vector 450 pts;Butterworth 4th order, 0,5-18Hz;Time Padding & DTW & Frequence Padding & cubic;One single cycle;Product fusion;Deep Learning CNN;ND;90%;10%;L2 regularization + 10-fold validation;NA;0,30%;NA;NA;
hwang2021PBGAN;TROIKA;Single cycle;Fixed size input vector 190 pts;Butterworth 4th order, 0,5-18Hz;Time Padding & DTW & Frequence Padding & cubic;One single cycle;Min Fusion;Deep Learning CNN;ND;90%;10%;L2 regularization + 10-fold validation;NA;14,00%;NA;NA;
hwang2021PBGAN;TROIKA;Single cycle;Fixed size input vector 190 pts;Butterworth 4th order, 0,5-18Hz;Time Padding & DTW & Frequence Padding & cubic;One single cycle;Min Fusion;Deep Learning CNN;WS;90%;10%;L2 regularization + 10-fold validation;NA;15%;NA;NA;
hwang2021PBGAN;TROIKA;Single cycle;Fixed size input vector 190 pts;Butterworth 4th order, 0,5-18Hz;Time Padding & DTW & Frequence Padding & cubic;One single cycle;Sum Fusion;Deep Learning CNN;ND;90%;10%;L2 regularization + 10-fold validation;NA;8%;NA;NA;
hwang2021PBGAN;TROIKA;Single cycle;Fixed size input vector 190 pts;Butterworth 4th order, 0,5-18Hz;Time Padding & DTW & Frequence Padding & cubic;One single cycle;Sum Fusion;Deep Learning CNN;WS;90%;10%;L2 regularization + 10-fold validation;NA;8,20%;NA;NA;
hwang2021PBGAN;TROIKA;Single cycle;Fixed size input vector 190 pts;Butterworth 4th order, 0,5-18Hz;Time Padding & DTW & Frequence Padding & cubic;One single cycle;Product fusion;Deep Learning CNN;ND;90%;10%;L2 regularization + 10-fold validation;NA;11%;NA;NA;
hwang2021PBGAN;TROIKA;Single cycle;Fixed size input vector 190 pts;Butterworth 4th order, 0,5-18Hz;Time Padding & DTW & Frequence Padding & cubic;One single cycle;Product fusion;Deep Learning CNN;WS;90%;10%;L2 regularization + 10-fold validation;NA;10%;NA;NA;
hwang2021PBGAN;Biosec 1;Single cycle;Fixed size input vector 150 pts;Butterworth 4th order, 0,5-18Hz;Time Padding & DTW & Frequence Padding & cubic;One single cycle;Min Fusion;Deep Learning CNN;ND;90% of session 2;10% of session 2;L2 regularization + 10-fold validation;NA;2%;NA;NA;
hwang2021PBGAN;Biosec 1;Single cycle;Fixed size input vector 150 pts;Butterworth 4th order, 0,5-18Hz;Time Padding & DTW & Frequence Padding & cubic;One single cycle;Min Fusion;Deep Learning CNN;WS;90% of session 2;10% of session 2;L2 regularization + 10-fold validation;NA;2,20%;NA;NA;
hwang2021PBGAN;Biosec 1;Single cycle;Fixed size input vector 150 pts;Butterworth 4th order, 0,5-18Hz;Time Padding & DTW & Frequence Padding & cubic;One single cycle;Sum Fusion;Deep Learning CNN;ND;90% of session 2;10% of session 2;L2 regularization + 10-fold validation;NA;0,40%;NA;NA;
hwang2021PBGAN;Biosec 1;Single cycle;Fixed size input vector 150 pts;Butterworth 4th order, 0,5-18Hz;Time Padding & DTW & Frequence Padding & cubic;One single cycle;Sum Fusion;Deep Learning CNN;WS;90% of session 2;10% of session 2;L2 regularization + 10-fold validation;NA;0,50%;NA;NA;
hwang2021PBGAN;Biosec 1;Single cycle;Fixed size input vector 150 pts;Butterworth 4th order, 0,5-18Hz;Time Padding & DTW & Frequence Padding & cubic;One single cycle;Product fusion;Deep Learning CNN;ND;90% of session 2;10% of session 2;L2 regularization + 10-fold validation;NA;0,80%;NA;NA;
hwang2021PBGAN;Biosec 1;Single cycle;Fixed size input vector 150 pts;Butterworth 4th order, 0,5-18Hz;Time Padding & DTW & Frequence Padding & cubic;One single cycle;Product fusion;Deep Learning CNN;WS;90% of session 2;10% of session 2;L2 regularization + 10-fold validation;NA;0,75%;NA;NA;
hwang2021PBGAN;Biosec 3;Single cycle;Fixed size input vector 150 pts;Butterworth 4th order, 0,5-18Hz;Time Padding & DTW & Frequence Padding & cubic;One single cycle;Min Fusion;Deep Learning CNN;ND;90% of session 2;10% of session 2;L2 regularization + 10-fold validation;NA;3,30%;NA;NA;
hwang2021PBGAN;Biosec 3;Single cycle;Fixed size input vector 150 pts;Butterworth 4th order, 0,5-18Hz;Time Padding & DTW & Frequence Padding & cubic;One single cycle;Min Fusion;Deep Learning CNN;WS;90% of session 2;10% of session 2;L2 regularization + 10-fold validation;NA;3,50%;NA;NA;
hwang2021PBGAN;Biosec 3;Single cycle;Fixed size input vector 150 pts;Butterworth 4th order, 0,5-18Hz;Time Padding & DTW & Frequence Padding & cubic;One single cycle;Sum Fusion;Deep Learning CNN;ND;90% of session 2;10% of session 2;L2 regularization + 10-fold validation;NA;1,30%;NA;NA;
hwang2021PBGAN;Biosec 3;Single cycle;Fixed size input vector 150 pts;Butterworth 4th order, 0,5-18Hz;Time Padding & DTW & Frequence Padding & cubic;One single cycle;Sum Fusion;Deep Learning CNN;WS;90% of session 2;10% of session 2;L2 regularization + 10-fold validation;NA;1,40%;NA;NA;
hwang2021PBGAN;Biosec 3;Single cycle;Fixed size input vector 150 pts;Butterworth 4th order, 0,5-18Hz;Time Padding & DTW & Frequence Padding & cubic;One single cycle;Product fusion;Deep Learning CNN;ND;90% of session 2;10% of session 2;L2 regularization + 10-fold validation;NA;2,20%;NA;NA;
hwang2021PBGAN;Biosec 3;Single cycle;Fixed size input vector 150 pts;Butterworth 4th order, 0,5-18Hz;Time Padding & DTW & Frequence Padding & cubic;One single cycle;Product fusion;Deep Learning CNN;WS;90% of session 2;10% of session 2;L2 regularization + 10-fold validation;NA;2%;NA;NA;
biswas2019cornet;TROIKA;use all signal;Zero mean;Butterworth BP 0,1-18Hz;all signal is used;all signal is used;2Layer 1D -CNN;Deep Learning ;CNN + 2 LSTM;8s of signal;NA;NA;96%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 1;Single cycle;None;FIR Low pass 10Hz;Time domain;5;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 1 -with Euclidian distance;50%;50%;NA;74,22%;NA;NA;NA;1 - 3 -5 - 7 -10
kavsaouglu2014novel;CUSTOM 1;Single cycle;None;FIR Low pass 10Hz;Time domain;10;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 1 -with Euclidian distance;50%;50%;NA;80,22%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 1;Single cycle;None;FIR Low pass 10Hz;Time domain;15;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 1 -with Euclidian distance;50%;50%;NA;88,89%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 1;Single cycle;None;FIR Low pass 10Hz;Time domain;20;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 1 -with Euclidian distance;50%;50%;NA;87,33%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 1;Single cycle;None;FIR Low pass 10Hz;Time domain;25;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 1 -with Euclidian distance;50%;50%;NA;90,44%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 1;Single cycle;None;FIR Low pass 10Hz;Time domain;30;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 1 -with Euclidian distance;50%;50%;NA;89,78%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 1;Single cycle;None;FIR Low pass 10Hz;Time domain;35;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 1 -with Euclidian distance;50%;50%;NA;89,11%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 1;Single cycle;None;FIR Low pass 10Hz;Time domain;40;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 1 -with Euclidian distance;50%;50%;NA;89,33%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 1;Single cycle;None;FIR Low pass 10Hz;Time domain;5;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 3 -with Euclidian distance;50%;50%;NA;74,44%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 1;Single cycle;None;FIR Low pass 10Hz;Time domain;10;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 3 -with Euclidian distance;50%;50%;NA;78,44%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 1;Single cycle;None;FIR Low pass 10Hz;Time domain;15;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 3 -with Euclidian distance;50%;50%;NA;86,00%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 1;Single cycle;None;FIR Low pass 10Hz;Time domain;20;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 3 -with Euclidian distance;50%;50%;NA;85,11%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 1;Single cycle;None;FIR Low pass 10Hz;Time domain;25;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 3 -with Euclidian distance;50%;50%;NA;89,11%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 1;Single cycle;None;FIR Low pass 10Hz;Time domain;30;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 3 -with Euclidian distance;50%;50%;NA;87,11%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 1;Single cycle;None;FIR Low pass 10Hz;Time domain;35;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 3 -with Euclidian distance;50%;50%;NA;88,00%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 1;Single cycle;None;FIR Low pass 10Hz;Time domain;40;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 3 -with Euclidian distance;50%;50%;NA;87,78%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 1;Single cycle;None;FIR Low pass 10Hz;Time domain;5;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 5 -with Euclidian distance;50%;50%;NA;75,11%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 1;Single cycle;None;FIR Low pass 10Hz;Time domain;10;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 5 -with Euclidian distance;50%;50%;NA;77,78%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 1;Single cycle;None;FIR Low pass 10Hz;Time domain;15;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 5 -with Euclidian distance;50%;50%;NA;83,56%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 1;Single cycle;None;FIR Low pass 10Hz;Time domain;20;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 5 -with Euclidian distance;50%;50%;NA;87,11%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 1;Single cycle;None;FIR Low pass 10Hz;Time domain;25;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 5 -with Euclidian distance;50%;50%;NA;87,33%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 1;Single cycle;None;FIR Low pass 10Hz;Time domain;30;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 5 -with Euclidian distance;50%;50%;NA;86,89%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 1;Single cycle;None;FIR Low pass 10Hz;Time domain;35;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 5 -with Euclidian distance;50%;50%;NA;85,11%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 1;Single cycle;None;FIR Low pass 10Hz;Time domain;40;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 5 -with Euclidian distance;50%;50%;NA;84,89%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 1;Single cycle;None;FIR Low pass 10Hz;Time domain;5;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 7 -with Euclidian distance;50%;50%;NA;74,22%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 1;Single cycle;None;FIR Low pass 10Hz;Time domain;10;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 7 -with Euclidian distance;50%;50%;NA;78,89%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 1;Single cycle;None;FIR Low pass 10Hz;Time domain;15;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 7 -with Euclidian distance;50%;50%;NA;83,11%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 1;Single cycle;None;FIR Low pass 10Hz;Time domain;20;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 7 -with Euclidian distance;50%;50%;NA;84,00%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 1;Single cycle;None;FIR Low pass 10Hz;Time domain;25;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 7 -with Euclidian distance;50%;50%;NA;84,89%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 1;Single cycle;None;FIR Low pass 10Hz;Time domain;30;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 7 -with Euclidian distance;50%;50%;NA;84,22%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 1;Single cycle;None;FIR Low pass 10Hz;Time domain;35;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 7 -with Euclidian distance;50%;50%;NA;83,33%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 1;Single cycle;None;FIR Low pass 10Hz;Time domain;40;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 7 -with Euclidian distance;50%;50%;NA;83,78%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 1;Single cycle;None;FIR Low pass 10Hz;Time domain;5;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 10 -with Euclidian distance;50%;50%;NA;72,67%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 1;Single cycle;None;FIR Low pass 10Hz;Time domain;10;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 10 -with Euclidian distance;50%;50%;NA;75,56%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 1;Single cycle;None;FIR Low pass 10Hz;Time domain;15;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 10 -with Euclidian distance;50%;50%;NA;78,67%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 1;Single cycle;None;FIR Low pass 10Hz;Time domain;20;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 10 -with Euclidian distance;50%;50%;NA;82,00%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 1;Single cycle;None;FIR Low pass 10Hz;Time domain;25;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 10 -with Euclidian distance;50%;50%;NA;84,00%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 1;Single cycle;None;FIR Low pass 10Hz;Time domain;30;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 10 -with Euclidian distance;50%;50%;NA;82,44%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 1;Single cycle;None;FIR Low pass 10Hz;Time domain;35;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 10 -with Euclidian distance;50%;50%;NA;81,78%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 1;Single cycle;None;FIR Low pass 10Hz;Time domain;40;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 10 -with Euclidian distance;50%;50%;NA;82,44%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 2;Single cycle;None;FIR Low pass 10Hz;Time domain;5;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 1 -with Euclidian distance;50%;50%;NA;75,11%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 2;Single cycle;None;FIR Low pass 10Hz;Time domain;10;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 1 -with Euclidian distance;50%;50%;NA;91,33%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 2;Single cycle;None;FIR Low pass 10Hz;Time domain;15;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 1 -with Euclidian distance;50%;50%;NA;92,44%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 2;Single cycle;None;FIR Low pass 10Hz;Time domain;20;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 1 -with Euclidian distance;50%;50%;NA;94,44%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 2;Single cycle;None;FIR Low pass 10Hz;Time domain;25;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 1 -with Euclidian distance;50%;50%;NA;93,56%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 2;Single cycle;None;FIR Low pass 10Hz;Time domain;30;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 1 -with Euclidian distance;50%;50%;NA;91,33%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 2;Single cycle;None;FIR Low pass 10Hz;Time domain;35;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 1 -with Euclidian distance;50%;50%;NA;90,67%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 2;Single cycle;None;FIR Low pass 10Hz;Time domain;40;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 1 -with Euclidian distance;50%;50%;NA;90,22%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 2;Single cycle;None;FIR Low pass 10Hz;Time domain;5;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 3 -with Euclidian distance;50%;50%;NA;73,78%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 2;Single cycle;None;FIR Low pass 10Hz;Time domain;10;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 3 -with Euclidian distance;50%;50%;NA;91,11%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 2;Single cycle;None;FIR Low pass 10Hz;Time domain;15;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 3 -with Euclidian distance;50%;50%;NA;91,78%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 2;Single cycle;None;FIR Low pass 10Hz;Time domain;20;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 3 -with Euclidian distance;50%;50%;NA;92,22%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 2;Single cycle;None;FIR Low pass 10Hz;Time domain;25;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 3 -with Euclidian distance;50%;50%;NA;91,78%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 2;Single cycle;None;FIR Low pass 10Hz;Time domain;30;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 3 -with Euclidian distance;50%;50%;NA;90,00%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 2;Single cycle;None;FIR Low pass 10Hz;Time domain;35;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 3 -with Euclidian distance;50%;50%;NA;90,44%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 2;Single cycle;None;FIR Low pass 10Hz;Time domain;40;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 3 -with Euclidian distance;50%;50%;NA;90,00%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 2;Single cycle;None;FIR Low pass 10Hz;Time domain;5;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 5 -with Euclidian distance;50%;50%;NA;73,33%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 2;Single cycle;None;FIR Low pass 10Hz;Time domain;10;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 5 -with Euclidian distance;50%;50%;NA;90,44%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 2;Single cycle;None;FIR Low pass 10Hz;Time domain;15;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 5 -with Euclidian distance;50%;50%;NA;91,11%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 2;Single cycle;None;FIR Low pass 10Hz;Time domain;20;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 5 -with Euclidian distance;50%;50%;NA;91,33%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 2;Single cycle;None;FIR Low pass 10Hz;Time domain;25;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 5 -with Euclidian distance;50%;50%;NA;90,22%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 2;Single cycle;None;FIR Low pass 10Hz;Time domain;30;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 5 -with Euclidian distance;50%;50%;NA;87,78%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 2;Single cycle;None;FIR Low pass 10Hz;Time domain;35;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 5 -with Euclidian distance;50%;50%;NA;89,11%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 2;Single cycle;None;FIR Low pass 10Hz;Time domain;40;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 5 -with Euclidian distance;50%;50%;NA;89,11%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 2;Single cycle;None;FIR Low pass 10Hz;Time domain;5;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 7 -with Euclidian distance;50%;50%;NA;73,56%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 2;Single cycle;None;FIR Low pass 10Hz;Time domain;10;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 7 -with Euclidian distance;50%;50%;NA;89,56%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 2;Single cycle;None;FIR Low pass 10Hz;Time domain;15;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 7 -with Euclidian distance;50%;50%;NA;89,33%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 2;Single cycle;None;FIR Low pass 10Hz;Time domain;20;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 7 -with Euclidian distance;50%;50%;NA;91,11%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 2;Single cycle;None;FIR Low pass 10Hz;Time domain;25;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 7 -with Euclidian distance;50%;50%;NA;90,00%;NA;NA;NA;
kavsaouglu2014novel;CUSTOM 2;Single cycle;None;FIR Low pass 10Hz;Time domain;30;Fiducial on raw, 1st and 2nd derivative;Machine learning;KNN - 7 -with Euclidian distance;50%;50%;NA;88,00%;NA;NA;NA;
